rank,prev_rank,name,league,off,def,spi
211,227,Ceará,Brasileiro Série A,1.24,1.19,46.75
212,216,Philadelphia Union,Major League Soccer,1.41,1.37,46.75
213,217,Millwall,English League Championship,1.26,1.21,46.65
214,223,Toulouse,French Ligue 2,1.38,1.36,46.21
215,225,Yokohama F. Marinos,Japanese J League,1.62,1.62,46.1
216,232,Queens Park Rangers,English League Championship,1.41,1.4,46.05
217,229,Morelia,Mexican Primera Division Torneo Clausura,1.43,1.42,46.04
218,231,Lanus,Argentina Primera Division,1.28,1.27,45.68
219,224,Sheffield Wednesday,English League Championship,1.24,1.24,45.56
220,251,FC Nordsjaelland,Danish SAS-Ligaen,1.51,1.54,45.2
221,245,Hannover 96,German 2. Bundesliga,1.37,1.4,44.98
222,233,Barnsley,English League Championship,1.19,1.21,44.84
223,234,Talleres de Córdoba,Argentina Primera Division,1.21,1.23,44.82
224,236,Birmingham,English League Championship,1.25,1.29,44.6
225,248,Famalicao,Portuguese Liga,1.27,1.32,44.3
226,239,Portimonense,Portuguese Liga,1.18,1.23,44.16
227,242,Pumas Unam,Mexican Primera Division Torneo Apertura,1.28,1.35,44.14
228,240,Pacos Ferreira,Portuguese Liga,1.23,1.29,44.11
229,247,Nottingham Forest,English League Championship,1.23,1.29,44.1
230,274,Terek Grozny,Russian Premier Liga,1.16,1.21,44.01
231,249,Aris Salonika,Greek Super League,1.32,1.4,43.8
232,243,Gil Vicente,Portuguese Liga,1.18,1.25,43.78
233,241,Sivasspor,Turkish Turkcell Super Lig,1.27,1.35,43.77
234,253,Atlético Goianiense,Brasileiro Série A,1.17,1.23,43.76
235,244,FC Lugano,Swiss Raiffeisen Super League,1.36,1.46,43.67
236,252,Columbus Crew,Major League Soccer,1.24,1.33,43.58
237,268,Botafogo,Brasileiro Série A,1.18,1.27,43.39
238,256,Derby County,English League Championship,1.27,1.38,43.12
239,255,Sport Recife,Brasileiro Série A,1.16,1.26,43.11
240,289,SC Farense,Portuguese Liga,1.27,1.38,43.05
241,267,Inter Miami CF,Major League Soccer,1.32,1.45,42.93
242,258,Argentinos Juniors,Argentina Primera Division,1.0,1.08,42.87
243,261,Tijuana,Mexican Primera Division Torneo Apertura,1.21,1.32,42.85
244,275,Rayo Vallecano,Spanish Segunda Division,1.32,1.45,42.79
245,246,Willem II,Dutch Eredivisie,1.41,1.56,42.78
246,260,Rosario Central,Argentina Primera Division,1.15,1.27,42.73
247,250,Amiens,French Ligue 2,1.14,1.26,42.7
248,265,Monza,Italy Serie B,1.29,1.43,42.67
249,264,Estudiantes,Argentina Primera Division,1.0,1.1,42.6
250,257,IFK Norrkoping,Swedish Allsvenskan,1.54,1.7,42.6
251,282,Maritimo,Portuguese Liga,1.19,1.31,42.48
252,259,Moreirense,Portuguese Liga,1.2,1.33,42.44
253,277,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.29,1.43,42.41
254,276,Chicago Fire,Major League Soccer,1.46,1.63,42.23
255,271,C.D. Nacional,Portuguese Liga,1.23,1.38,42.22
256,285,Kasimpasa,Turkish Turkcell Super Lig,1.28,1.44,42.15
257,270,FC Tambov,Russian Premier Liga,1.13,1.27,42.14
258,296,Mallorca,Spanish Segunda Division,1.1,1.24,41.98
259,237,Ural Sverdlovsk Oblast,Russian Premier Liga,1.13,1.28,41.94
260,284,FC Groningen,Dutch Eredivisie,1.12,1.26,41.88
261,300,Luton Town,English League Championship,1.16,1.31,41.84
262,278,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
263,333,Konyaspor,Turkish Turkcell Super Lig,1.2,1.36,41.66
264,291,Orlando City SC,Major League Soccer,1.34,1.53,41.64
265,287,Sporting Kansas City,Major League Soccer,1.38,1.58,41.62
266,254,Tondela,Portuguese Liga,1.17,1.34,41.57
267,320,New England Revolution,Major League Soccer,1.25,1.44,41.5
268,281,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
269,272,Cerezo Osaka,Japanese J League,1.09,1.26,41.41
270,283,Colorado Rapids,Major League Soccer,1.43,1.64,41.4
271,335,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.26,1.45,41.37
272,266,Djurgardens IF,Swedish Allsvenskan,1.2,1.38,41.33
273,262,Los Angeles Galaxy,Major League Soccer,1.46,1.68,41.3
274,286,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
275,269,Arizona United,United Soccer League,1.6,1.85,41.12
276,293,Goztepe,Turkish Turkcell Super Lig,1.28,1.49,41.03
277,273,Heerenveen,Dutch Eredivisie,1.44,1.68,40.98
278,297,Servette,Swiss Raiffeisen Super League,1.31,1.53,40.97
279,290,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
280,292,Querétaro,Mexican Primera Division Torneo Apertura,1.22,1.43,40.82
281,279,Heracles,Dutch Eredivisie,1.31,1.54,40.7
282,306,Hammarby,Swedish Allsvenskan,1.48,1.74,40.54
283,288,BK Hacken,Swedish Allsvenskan,1.18,1.4,40.54
284,263,AaB,Danish SAS-Ligaen,1.14,1.36,40.54
285,298,Gazisehir Gaziantep,Turkish Turkcell Super Lig,1.27,1.5,40.52
286,235,Kashima Antlers,Japanese J League,1.22,1.44,40.49
287,312,Goiás,Brasileiro Série A,1.23,1.46,40.47
288,301,FC Luzern,Swiss Raiffeisen Super League,1.34,1.59,40.46
289,299,Patronato,Argentina Primera Division,1.2,1.43,40.35
290,295,Hull City,English League One,1.21,1.45,40.33
291,325,Vissel Kobe,Japanese J League,1.48,1.76,40.32
292,302,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
293,340,Atlanta United FC,Major League Soccer,1.22,1.45,40.27
294,309,Boavista,Portuguese Liga,1.08,1.3,40.13
295,304,Belenenses,Portuguese Liga,1.02,1.24,39.97
296,353,St. Pölten,Austrian T-Mobile Bundesliga,1.31,1.58,39.95
297,323,Sanfrecce Hiroshima,Japanese J League,1.12,1.35,39.89
298,308,PEC Zwolle,Dutch Eredivisie,1.35,1.63,39.83
299,303,Antalyaspor,Turkish Turkcell Super Lig,1.13,1.37,39.73
300,305,Coventry City,English League Championship,1.18,1.43,39.69
301,311,Banfield,Argentina Primera Division,0.98,1.2,39.66
302,307,Rotherham United,English League Championship,1.1,1.36,39.3
303,315,FC Ufa,Russian Premier Liga,0.9,1.11,39.23
304,318,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
305,314,Minnesota United FC,Major League Soccer,1.33,1.64,39.16
306,310,Leganes,Spanish Segunda Division,1.13,1.41,39.08
307,332,New York Red Bulls,Major League Soccer,1.3,1.61,39.07
308,321,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
309,324,Necaxa,Mexican Primera Division Torneo Apertura,1.08,1.35,39.01
310,280,FC Tokyo,Japanese J League,1.13,1.42,38.95
311,316,FC Dallas,Major League Soccer,1.28,1.59,38.93
312,313,SC Paderborn,German 2. Bundesliga,1.24,1.54,38.92
313,343,Sporting Gijón,Spanish Segunda Division,0.9,1.14,38.75
314,322,FC Juárez,Mexican Primera Division Torneo Apertura,1.09,1.37,38.7
315,326,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
316,329,Portland Timbers,Major League Soccer,1.4,1.75,38.67
317,294,Coritiba,Brasileiro Série A,1.03,1.31,38.63
318,387,Lausanne Sports,Swiss Raiffeisen Super League,1.22,1.54,38.56
319,330,Henan Jianye,Chinese Super League,1.25,1.57,38.55
320,373,Gamba Osaka,Japanese J League,1.2,1.52,38.48
321,317,Brescia,Italy Serie B,1.21,1.53,38.33
322,336,KV Kortrijk,Belgian Jupiler League,1.15,1.47,38.33
323,344,Kashiwa Reysol,Japanese J League,1.26,1.61,38.3
324,341,Almeria,Spanish Segunda Division,1.06,1.36,38.24
325,337,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
326,338,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
327,342,Huracán,Argentina Primera Division,0.95,1.24,37.93
328,319,Girona FC,Spanish Segunda Division,1.0,1.31,37.87
329,339,FC Twente,Dutch Eredivisie,1.23,1.59,37.86
330,347,Troyes,French Ligue 2,0.99,1.29,37.82
331,354,FC Sion,Swiss Raiffeisen Super League,1.07,1.4,37.67
332,345,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
333,334,Spal,Italy Serie B,1.16,1.52,37.6
334,359,Sparta,Dutch Eredivisie,1.32,1.72,37.38
335,349,Toluca,Mexican Primera Division Torneo Apertura,1.22,1.6,37.36
336,365,Fuenlabrada,Spanish Segunda Division,1.0,1.33,37.33
337,360,Caen,French Ligue 2,1.0,1.33,37.3
338,328,Atlético San Luis,Mexican Primera Division Torneo Apertura,1.12,1.49,37.27
339,350,Atromitos,Greek Super League,1.0,1.33,37.25
340,371,FC Khimki,Russian Premier Liga,1.17,1.54,37.25
341,352,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
342,331,KV Mechelen,Belgian Jupiler League,1.24,1.64,37.1
343,351,Atlas,Mexican Primera Division Torneo Apertura,0.99,1.33,37.0
344,327,Odense BK,Danish SAS-Ligaen,1.17,1.56,36.9
345,370,1. FC Nürnberg,German 2. Bundesliga,1.12,1.51,36.72
346,358,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
347,346,Hartberg,Austrian T-Mobile Bundesliga,1.34,1.78,36.57
348,366,Las Palmas,Spanish Segunda Division,1.08,1.47,36.56
349,362,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
350,379,Holstein Kiel,German 2. Bundesliga,1.2,1.62,36.42
351,348,FK Volgograd,Russian Premier Liga,1.04,1.43,36.3
352,356,Randers FC,Danish SAS-Ligaen,1.13,1.55,36.23
353,357,Houston Dynamo,Major League Soccer,1.25,1.7,36.23
354,400,Cercle Brugge,Belgian Jupiler League,1.13,1.55,36.22
355,388,Clermont Foot,French Ligue 2,0.93,1.3,36.19
356,374,Fatih Karagümrük,Turkish Turkcell Super Lig,1.12,1.55,35.96
357,368,Nagoya Grampus Eight,Japanese J League,1.07,1.49,35.79
358,378,Real Salt Lake,Major League Soccer,1.08,1.5,35.77
359,369,Puebla,Mexican Primera Division Torneo Apertura,1.05,1.46,35.75
360,364,Sunderland,English League One,1.0,1.4,35.74
361,421,KV Oostende,Belgian Jupiler League,1.13,1.58,35.73
362,361,Guingamp,French Ligue 2,1.06,1.49,35.55
363,394,SV Zulte Waregem,Belgian Jupiler League,1.24,1.72,35.45
364,380,Melbourne City,Australian A-League,1.17,1.64,35.39
365,383,Sydney FC,Australian A-League,1.12,1.58,35.2
366,355,SV Sandhausen,German 2. Bundesliga,1.16,1.64,35.19
367,384,SV Darmstadt 98,German 2. Bundesliga,1.1,1.57,35.15
368,395,OH Leuven,Belgian Jupiler League,1.16,1.64,35.09
369,389,OFI Crete,Greek Super League,1.06,1.52,34.85
370,363,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.23,1.75,34.8
371,392,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
372,399,Caykur Rizespor,Turkish Turkcell Super Lig,1.07,1.55,34.67
373,375,Hibernian,Scottish Premiership,1.13,1.63,34.61
374,410,AIK,Swedish Allsvenskan,0.95,1.4,34.51
375,391,1. FC Heidenheim 1846,German 2. Bundesliga,1.05,1.54,34.43
376,397,Eupen,Belgian Jupiler League,1.08,1.59,34.21
377,390,Odd BK,Norwegian Tippeligaen,1.28,1.86,34.0
378,377,SV Ried,Austrian T-Mobile Bundesliga,1.15,1.69,34.0
379,401,Emmen,Dutch Eredivisie,1.2,1.76,33.78
380,398,Kristiansund BK,Norwegian Tippeligaen,1.28,1.86,33.76
381,402,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
382,403,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
383,425,Vejle,Danish SAS-Ligaen,1.12,1.67,33.63
384,407,Aldosivi,Argentina Primera Division,0.86,1.33,33.63
385,437,Aberdeen,Scottish Premiership,1.0,1.51,33.55
386,408,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
387,393,IF Elfsborg,Swedish Allsvenskan,1.16,1.73,33.42
388,405,Viking FK,Norwegian Tippeligaen,1.37,2.0,33.41
389,417,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.04,1.58,33.38
390,367,Hatayspor,Turkish Turkcell Super Lig,1.01,1.54,33.37
391,406,Erzurumspor,Turkish Turkcell Super Lig,1.03,1.56,33.35
392,386,Mouscron-Peruwelz,Belgian Jupiler League,0.99,1.52,33.28
393,413,Real Zaragoza,Spanish Segunda Division,1.02,1.57,33.18
394,372,FC Zurich,Swiss Raiffeisen Super League,1.22,1.83,33.05
395,427,Fortuna Sittard,Dutch Eredivisie,1.2,1.8,33.03
396,464,Auxerre,French Ligue 2,1.0,1.54,33.03
397,409,AD Alcorcon,Spanish Segunda Division,0.88,1.39,32.99
398,411,St. Truidense,Belgian Jupiler League,1.04,1.59,32.98
399,415,VfL Bochum,German 2. Bundesliga,1.04,1.61,32.93
400,376,Málaga,Spanish Segunda Division,0.76,1.23,32.93
401,436,Grenoble,French Ligue 2,0.96,1.51,32.79
402,440,ADO Den Haag,Dutch Eredivisie,1.17,1.78,32.77
403,382,Le Havre,French Ligue 2,0.91,1.44,32.76
404,412,Ipswich Town,English League One,0.97,1.51,32.73
405,434,Castellon,Spanish Segunda Division,1.0,1.56,32.73
406,438,San Jose Earthquakes,Major League Soccer,1.25,1.89,32.69
407,435,Genclerbirligi,Turkish Turkcell Super Lig,0.94,1.49,32.68
408,418,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
409,465,SD Ponferradina,Spanish Segunda Division,0.91,1.45,32.62
410,381,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.06,1.64,32.55
411,430,Karlsruher SC,German 2. Bundesliga,1.02,1.6,32.36
412,404,Wycombe Wanderers,English League Championship,1.03,1.62,32.3
413,460,Paris FC,French Ligue 2,0.95,1.52,32.21
414,396,Tenerife,Spanish Segunda Division,0.91,1.47,32.2
415,429,Valerenga,Norwegian Tippeligaen,1.12,1.75,32.14
416,420,SpVgg Greuther Fürth,German 2. Bundesliga,1.03,1.63,32.04
417,457,Sonderjyske,Danish SAS-Ligaen,1.09,1.73,31.92
418,423,Perth Glory,Australian A-League,1.09,1.72,31.9
419,426,Newcastle Jets,Australian A-League,1.11,1.76,31.86
420,416,Real Oviedo,Spanish Segunda Division,0.87,1.43,31.77
421,446,Kayserispor,Turkish Turkcell Super Lig,1.07,1.71,31.65
422,414,VVV Venlo,Dutch Eredivisie,1.12,1.78,31.62
423,424,FC Vaduz,Swiss Raiffeisen Super League,0.96,1.58,31.26
