rank,prev_rank,name,league,off,def,spi
520,540,Vegalta Sendai,Japanese J League,0.83,1.93,22.66
521,531,Shimizu S-Pulse,Japanese J League,0.97,2.14,22.58
522,561,El Paso Locomotive FC,United Soccer League,0.7,1.71,22.58
523,541,New Mexico United,United Soccer League,0.84,1.95,22.57
524,530,F.B.C Unione Venezia,Italy Serie B,0.7,1.72,22.51
525,538,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
526,535,Dundee Utd,Scottish Premiership,0.76,1.85,22.1
527,548,Orange County SC,United Soccer League,0.77,1.88,21.91
528,557,Charleston Battery,United Soccer League,0.78,1.89,21.88
529,546,Panionios,Greek Super League,0.51,1.45,21.84
530,545,Pisa,Italy Serie B,0.71,1.8,21.75
531,547,US Pescara,Italy Serie B,0.68,1.78,21.26
532,553,Volos NFC,Greek Super League,0.65,1.73,21.22
533,544,Swindon Town,English League One,0.83,2.02,21.19
534,542,Fleetwood Town,English League One,0.73,1.87,21.19
535,556,Hamilton Academical,Scottish Premiership,0.76,1.91,21.12
536,567,San Diego Loyal SC,United Soccer League,0.7,1.82,21.09
537,550,Vancouver Whitecaps,Major League Soccer,0.88,2.11,21.09
538,529,Austin Bold FC,United Soccer League,0.92,2.19,20.99
539,543,Ascoli,Italy Serie B,0.76,1.92,20.96
540,552,Vicenza,Italy Serie B,0.71,1.86,20.89
541,551,Varbergs BoIS FC,Swedish Allsvenskan,0.78,1.97,20.87
542,554,Blackpool,English League One,0.72,1.88,20.72
543,560,Reggiana,Italy Serie B,0.74,1.92,20.57
544,537,Indy Eleven,United Soccer League,0.68,1.84,20.5
545,555,Birmingham Legion FC,United Soccer League,0.79,2.07,19.73
546,566,Sandefjord,Norwegian Tippeligaen,0.66,1.87,19.51
547,562,Burton Albion,English League One,0.87,2.24,19.32
548,563,St Johnstone,Scottish Premiership,0.54,1.68,19.31
549,565,St Mirren,Scottish Premiership,0.58,1.76,19.13
550,580,IK Start,Norwegian Tippeligaen,0.73,2.03,19.0
551,559,Yokohama FC,Japanese J League,0.73,2.03,18.96
552,568,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
553,569,Milton Keynes Dons,English League One,0.64,1.89,18.81
554,571,Saint Louis FC,United Soccer League,0.69,1.98,18.68
555,558,Ross County,Scottish Premiership,0.64,1.93,18.33
556,582,Miami FC,United Soccer League,0.81,2.26,17.9
557,577,Cheltenham Town,English League Two,0.58,1.85,17.89
558,564,Kalmar FF,Swedish Allsvenskan,0.66,2.02,17.69
559,576,Charlotte Independence,United Soccer League,0.69,2.08,17.42
560,573,Central Coast Mariners,Australian A-League,0.78,2.26,17.34
561,574,Shrewsbury Town,English League One,0.55,1.85,17.31
562,578,Colchester United,English League Two,0.61,1.97,17.15
563,575,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
564,572,Shonan Bellmare,Japanese J League,0.56,1.9,16.96
565,584,LA Galaxy II,United Soccer League,0.85,2.41,16.95
566,581,North Carolina FC,United Soccer League,0.65,2.09,16.69
567,570,Falkenbergs FF,Swedish Allsvenskan,0.68,2.13,16.64
568,579,Plymouth Argyle,English League One,0.64,2.07,16.51
569,585,Accrington Stanley,English League One,0.64,2.09,16.29
570,588,Oldham Athletic,English League Two,0.74,2.32,15.84
571,589,Exeter City,English League Two,0.61,2.1,15.68
572,586,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
573,595,Memphis 901 FC,United Soccer League,0.74,2.37,15.25
574,591,Bolton,English League Two,0.57,2.1,14.86
575,603,Tulsa Roughnecks,United Soccer League,0.59,2.14,14.85
576,597,Bristol Rovers,English League One,0.53,2.04,14.75
577,590,Aalesund,Norwegian Tippeligaen,0.79,2.53,14.57
578,587,AFC Wimbledon,English League One,0.57,2.13,14.55
579,599,Rochdale,English League One,0.56,2.12,14.39
580,598,Hartford Athletic,United Soccer League,0.71,2.46,13.97
581,596,Chippa United,South African ABSA Premier League,0.26,1.54,13.92
582,593,Mjondalen,Norwegian Tippeligaen,0.55,2.17,13.59
583,600,Bradford City,English League Two,0.49,2.07,13.58
584,601,AmaZulu,South African ABSA Premier League,0.31,1.68,13.48
585,592,Northampton Town,English League One,0.51,2.13,13.36
586,604,Crewe Alexandra,English League One,0.46,2.03,13.34
587,583,Real Monarchs SLC,United Soccer League,0.56,2.22,13.33
588,606,Las Vegas Lights FC,United Soccer League,0.67,2.44,13.32
589,602,Mansfield Town,English League Two,0.56,2.26,12.9
590,607,Baroka FC,South African ABSA Premier League,0.24,1.57,12.84
591,612,Tacoma Defiance,United Soccer League,0.65,2.49,12.51
592,594,Portland Timbers 2,United Soccer League,0.79,2.78,12.37
593,611,Stellenbosch FC,South African ABSA Premier League,0.35,1.89,12.29
594,609,Crawley Town,English League Two,0.46,2.14,12.14
595,605,Leyton Orient,English League Two,0.5,2.24,12.14
596,608,Port Vale,English League Two,0.37,1.99,11.77
597,614,Black Leopards,South African ABSA Premier League,0.39,2.03,11.75
598,619,Swope Park Rangers,United Soccer League,0.62,2.56,11.56
599,610,Colorado Springs Switchbacks FC,United Soccer League,0.47,2.27,11.15
600,613,New York Red Bulls II,United Soccer League,0.7,2.79,10.89
601,621,Tranmere Rovers,English League Two,0.37,2.08,10.88
602,620,Atlanta United 2,United Soccer League,0.58,2.64,10.2
603,615,Oklahoma City Energy FC,United Soccer League,0.42,2.3,10.16
604,618,Forest Green Rovers,English League Two,0.34,2.11,10.16
605,616,Barrow,English League Two,0.38,2.23,10.02
606,628,Rio Grande Valley FC Toros,United Soccer League,0.47,2.42,10.01
607,622,Southend United,English League Two,0.41,2.32,9.71
608,617,Scunthorpe,English League Two,0.36,2.22,9.64
609,623,Walsall,English League Two,0.35,2.26,9.14
610,624,Grimsby Town,English League Two,0.35,2.29,9.0
611,627,Morecambe,English League Two,0.36,2.36,8.6
612,625,Stevenage,English League Two,0.26,2.15,8.38
613,626,Cambridge United,English League Two,0.26,2.19,8.01
614,629,Newport County,English League Two,0.21,2.1,7.8
615,630,Carlisle United,English League Two,0.24,2.26,7.35
616,631,Loudoun United FC,United Soccer League,0.34,2.65,6.51
617,632,Harrogate Town,English League Two,0.2,2.35,6.11
618,633,Bethlehem Steel FC,United Soccer League,0.41,2.99,5.78
